TS,TEMP,WIND
2019-12-17,18.2,3
2019-12-18,24.4,3.5
2019-12-19,40.8,7
2019-12-20,37.6,13
2019-12-21,28.4,9.7
2019-12-22,21.3,5
2019-12-23,29.2,1.9
2019-12-24,34,8.4
2019-12-25,27.6,9.7
2019-12-26,19.9,10.5
2019-12-27,10,6.1
2019-12-28,3.6,10.5
2019-12-29,4.5,6.5
2019-12-30,6.4,3
2019-12-31,1.4,2.4
2020-01-01,0.9,7
2020-01-02,6.4,3.7
2020-01-03,14.4,6.1
2020-01-04,18.4,7.9
2020-01-05,9.2,18
2020-01-06,2.9,16
2020-01-07,0.8,7.4
2020-01-08,19.8,12
2020-01-09,31.2,9.6
2020-01-10,25.7,4.6
2020-01-11,41.4,10.7
2020-01-12,54.8,12.1
2020-01-13,30.7,13.1
2020-01-14,8.8,8.3
2020-01-15,10.5,4.5
2020-01-16,20.2,2.4
2020-01-17,25.8,5.4
2020-01-18,13.5,5.3
2020-01-19,22.5,4.1
2020-01-20,33,7.5
2020-01-21,37.9,5
2020-01-22,33.3,2.4
2020-01-23,40.5,7.3
2020-01-24,31.9,13.1
2020-01-25,19.4,11.1
2020-01-26,20.3,4.2
2020-01-27,35.4,9.9
2020-01-28,45,6.2
2020-01-29,32.8,5.1
2020-01-30,25.4,7.5
2020-01-31,20.6,9.2
2020-02-01,32,11.1
2020-02-02,25.3,15.6
2020-02-03,15,7.4
2020-02-04,28.9,12.9
2020-02-05,27.8,11.1
2020-02-06,20.3,5.4
2020-02-07,20.1,2.7
2020-02-08,22.4,8.1
2020-02-09,16.2,3.4
2020-02-10,34.9,9.9
2020-02-11,32.9,4.9
2020-02-12,33.2,11.1
2020-02-13,22.7,6.3
2020-02-14,33,7.6
2020-02-15,41.7,6.5
2020-02-16,43.2,6.6
2020-02-17,30.6,7.4
2020-02-18,32.7,8.4
2020-02-19,33.6,9.3
2020-02-20,48.5,10.2
2020-02-21,59.2,11.2
2020-02-22,36.3,6.8
2020-02-23,26.8,5.4
2020-02-24,39.8,7.8
2020-02-25,37,5.7
2020-02-26,42.1,7.3
2020-02-27,40.7,6
2020-02-28,45.3,6.6
2020-03-01,46.9,5.5
2020-03-02,34.8,12.4
2020-03-03,35.2,9.6
2020-03-04,35.9,10
2020-03-05,33.8,10.2
2020-03-06,34.5,2.6
2020-03-07,33.7,5.5
2020-03-08,32.5,9.2
2020-03-09,31,8
2020-03-10,33.1,13.4
2020-03-11,31.9,11.5
2020-03-12,33,3.3
2020-03-13,33.7,7.5
2020-03-14,31.5,10.5
2020-03-15,33.7,16.3
2020-03-16,29.3,13.1
2020-03-17,29.1,14
2020-03-18,20.3,9
2020-03-19,25.6,7.2
2020-03-20,26,5.5
2020-03-21,29.9,9.9
2020-03-22,34.8,9
2020-03-23,36.3,7.3
2020-03-24,36.9,8.4
2020-03-25,33.9,9.1
2020-03-26,37,4
2020-03-27,37.9,4.9
2020-03-28,41.1,5.7
2020-03-29,43.3,1.6
2020-03-30,47.8,12
2020-03-31,42.5,8.3
2020-04-01,44.3,16
2020-04-02,35,3.5
2020-04-03,37.6,6.2
2020-04-04,42.7,11.9
2020-04-05,32.3,16.8
2020-04-06,30.3,7.6
2020-04-07,35.1,11.6
2020-04-08,30.2,7.3
2020-04-09,32.1,8.4
2020-04-10,37.1,4
2020-04-11,36.4,5.7
2020-04-12,43.7,6.6
2020-04-13,50.7,4.7
2020-04-14,44.7,11.5
2020-04-15,31,6.9
2020-04-16,37,3.9
2020-04-17,40.8,9.3
2020-04-18,38.9,10.2
2020-04-19,39.7,7.3
2020-04-20,38.1,13.7
2020-04-21,44.3,10.1
2020-04-22,48.4,5.2
2020-04-23,50.5,2.9
2020-04-24,58.4,9.8
2020-04-25,53.9,4.6
2020-04-26,53.2,7.7
2020-04-27,45.5,2.1
2020-04-28,54.4,5.2
2020-04-29,45.8,9.9
2020-04-30,42.7,11.1
2020-05-01,54,3.8
2020-05-02,68.5,5
2020-05-03,75.2,3.8
2020-05-04,71.5,6.9
2020-05-05,63.8,11.2
2020-05-06,62.4,3.8
2020-05-07,58.8,3.2
2020-05-08,60,2.7
2020-05-09,68.2,4.3
2020-05-10,65.6,11.4
2020-05-11,60.1,10.1
